country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Algeria,DZA,1995,Africa,0.2459116329395865,0.31371887153651307,0.18703040668270113,0.117,0.5326937123600419,35.3,3.3686354
Argentina,ARG,1995,South America,0.48064737834617827,0.4074013745647181,0.29024625575264246,0.635,0.710793536757932,48.9,3.576146
Argentina,ARG,2000,South America,0.49682706842310403,0.42396335966670085,0.30148827985985466,0.66,0.7222346206653837,51.0,3.8521757
Argentina,ARG,2005,South America,0.519608613490738,0.4517499893773864,0.3437439026229132,0.644,0.728930873806787,47.8,4.123947
Argentina,ARG,2010,South America,0.525761432641915,0.466322793706386,0.3572991467690987,0.604,0.7592754166186407,43.7,4.507803
Argentina,ARG,2020,South America,0.5808541814563672,0.47078648291354036,0.5019360509455649,0.659,0.7309887469295789,42.7,3.6425223
Australia,AUS,1995,Oceania,0.7332401611716842,0.5429801159485864,0.734329187720152,0.853,0.8498870837824551,32.6,16.853085
Australia,AUS,2010,Oceania,0.8148753517598621,0.7412533271905672,0.7708401094364769,0.859,0.8983397194185744,34.7,18.292547
Australia,AUS,2020,Oceania,0.8479026702428611,1.0,0.6967634734773238,0.814,0.9113269875670307,33.8,15.481285
Austria,AUT,1995,Europe,0.633120689384105,0.49525915718271724,0.48854582582903805,0.785,0.8459380216427362,29.9,8.057918
Austria,AUT,2000,Europe,0.6605143547515582,0.5420539889319439,0.5109326419197295,0.791,0.868853118516486,29.0,8.262151
Austria,AUT,2005,Europe,0.6800098073489123,0.5925335881453081,0.5187289575776197,0.792,0.8783792284668149,28.7,9.611559
Austria,AUT,2010,Europe,0.7020925843682082,0.6377960814570206,0.5373930040198376,0.8,0.886163181397497,30.3,8.607232
Austria,AUT,2015,Europe,0.7083975119518958,0.677646438293322,0.5202793014321941,0.803,0.8895141375828489,30.5,7.6767116
Austria,AUT,2020,Europe,0.738255428727118,0.7001394966989997,0.6273461957350499,0.763,0.8863601291970412,29.8,6.969737
Bangladesh,BGD,1995,Asia,0.21250309343881726,0.22384777115462431,0.1034686844142551,0.279,0.3155695722721151,32.9,0.17174801
Bangladesh,BGD,2000,Asia,0.24679818154153843,0.29187254618510267,0.1289063158910329,0.288,0.3423796081505856,33.4,0.19725299
Bangladesh,BGD,2005,Asia,0.24797612810361858,0.31160918944390315,0.13504604896060277,0.24,0.3744002393131613,33.2,0.26062584
Bangladesh,BGD,2010,Asia,0.24314903383026662,0.3304557183614115,0.1384523458688979,0.185,0.41295704003414174,32.1,0.3550251
